Building Name,Street Address,City,State,Postal,Country,MSA Name,Latitude,Longitude,Elevation,Serving Wire Center CLLI,Building CLLI,Network Build Status,Building Connection Status,Building Category,NPA,NXX,LATA,Demarc Code,Fiber Ownership,Access Medium,Install Interval,Supplier Name,Access Customer Name,Access Floor,Access Room,Ethernet Handoff Type,Minimum Circuit Level,Minimum Quantity to Accept an Order,Special Construction Cost,Customer Unique Key,CB Building Key,Transaction Indicator,Primary NNI Location,Secondary NNI Location,Primary Number,Street Predirection,Street Name,Street Postdirection,Street Suffix,Secondary Designator,Secondary Number,Extra Secondary Designator,Extra Secondary Number,Plus4 Code,Conformed State,Conformed City,Building Notes,Distance Band,LOS Distance 1 Path,LOS Distance 2 Path,ROW Distance 1 Path,ROW Distance 2 Path,LOS Distance 1 Access Point,LOS Distance 2 Access Point,ROW Distance 1 Access Point,ROW Distance 2 Access Point,Comcast Pricing Zone,Indatel Pricing Zone,CenturyLink Pricing Zone,Sprint Pricing Zone,Verizon Pricing Zone,AT&T Pricing Zone,Building Competitive Rating,AT&T Serving Node CLLI,AT&T Unique Key,Pricing Zone,Pricing Type,Wavelength Handoff Type,Wave Zone,Wave Install Interval,Custom Pricing Zone,Lateral Distance,OSP Construction Estimate,OSP Cost per Foot,OSP Cost Zone,Telco_Spend,Tenant_Count,FBL Market ID,MRTL,Territory ID,Pricing Tool,Minimum Contract Value,TCVR,Base Zone,Tenant Band,Telco Spend Band,Active Status,SFDC Access Level,Wave MCV,Mkt-Prof 1,Program Engineering Boundary,Program SWC,MOVAw,MOVAe,Investment Building Eligible,Bundle Tier,SFDC Building Type,Dish Route,Dish 2020,CPQ Ethernet Zone,DASH Eligibility,MKT Rate EVPL 5000,ENNI Eligibility,EPE Approval Code,SWC Status,QM Last Run Date,QM MNO Target,MNO-A ID,MNO-T ID,Dark MCV,MNO-V ID,FRDF Eligible,MDFNp Eligible,FNI,MNO Target,QM FCC ID,SFDC LLOC,FBL Node,FBL Market,FBL Level 6 Demarcs,Texas Express Node,CoStar ID,SFDC Status,SFDC On Off Net,SFDC Building Category 1,SFDC Building Category 2,SFDC Market,SFDC Active Date,SFDC Building Name,SFDC Location Long ID,SFDC Location ID,SFDC Entrance Type,DISH Site ID,TMO Site ID,Sprint Site Id,Verizon Site ID,ATT Site ID,SFDC Building Type.1,NPA- NXX,Ethernet Zone,Horizontal Coordinate,Vertical Coordinate,Protection Type,Handoff Pricing,Diversity Type,Tenant Count,Building Sq Footage,Building Floors,Property Type,Address Status,id,Barriers,Modified Date,Modified By,Status,UniqueID,geometry,Distances_from_splice,Distances_from_path
23309 Rogerdale Pl,23309 Rogerdale Pl,Sterling,VA,20166,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.97351,-77.493128,,DLLSVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,260.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,23309,,Rogerdale,,Pl,,,,,,,,No,501 - 1000 feet,584.0,,682.0,,,,IAD06 to BL7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1070,,,,delta_new,250,POINT (-77.493128 38.97351),0.0,0.0
24560 Southpoint Dr,24560 Southpoint Dr,Aldie,VA,20105,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.937449,-77.543372,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,24560,,Southpoint,,Dr,,,,,,,,No,1501+ feet,582.0,,1850.0,,,,3-way junction - IAD11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072,,,,delta_new,251,POINT (-77.543372 38.937449),1.5888218580782548e-14,0.0
25231 Zdunvegan Sq,25231 Zdunvegan Sq,Chantilly,VA,20152,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.920292,-77.499705,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,25231,,Zdunvegan,,Sq,,,,,,,,No,1501+ feet,594.0,,1807.0,,,,3-way junction - BL20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1074,,,,delta_new,252,POINT (-77.499705 38.920292),0.0,1.4210854715202004e-14
24079 Mill Wheel Pl,24079 Mill Wheel Pl,Aldie,VA,20105,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.952302,-77.573827,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,24079,,Mill Wheel,,Pl,,,,,,,,No,1001 - 1500 feet,618.0,,1248.0,,,,IAD06 - IAD21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1077,,,,delta_new,253,POINT (-77.573827 38.952302),0.0,1.4210854715202004e-14
42838 Ravenglass Dr,42838 Ravenglass Dr,Ashburn,VA,20148,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.999987,-77.518349,,ASBNVAASDS0,,Not Connected,Near Net,Commercial Building,703.0,723.0,246.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,42838,,Ravenglass,,Dr,,,,,,,,No,1001 - 1500 feet,660.0,,1042.0,,,,3-way junction - BL20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078,,,,delta_new,254,POINT (-77.518349 38.999987),0.0,1.5888218580782548e-14
25338 Ashbury Dr,25338 Ashbury Dr,Chantilly,VA,20152,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.916506,-77.516873,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,25338,,Ashbury,,Dr,,,,,,,,No,1501+ feet,659.0,,1616.0,,,,IAD06 - IAD21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1079,,,,delta_new,255,POINT (-77.516873 38.916506),0.0,3.5521855831144503e-15
22519 Armstrong Ter,22519 Armstrong Ter,Ashburn,VA,20148,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.992894,-77.484509,,ASBNVAASDS0,,Not Connected,Near Net,Commercial Building,703.0,723.0,246.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,22519,,Armstrong,,Ter,,,,,,,,No,1001 - 1500 feet,654.0,,1159.0,,,,3-way junction - BL7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1083,,,,delta_new,256,POINT (-77.484509 38.992894),0.0,7.100666631737952e-15
25292 Gray Poplar Ter,25292 Gray Poplar Ter,Aldie,VA,20105,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.918314,-77.568815,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,25292,,Gray Poplar,,Ter,,,,,,,,No,501 - 1000 feet,644.0,,720.0,,,,IAD06 - IAD11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1089,,,,delta_new,257,POINT (-77.568815 38.918314),6.826011646044409e-16,0.0
24927 Sawyer Mills Ct,24927 Sawyer Mills Ct,Aldie,VA,20105,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.928243,-77.58115,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,24927,,Sawyer Mills,,Ct,,,,,,,,No,1501+ feet,641.0,,1686.0,,,,IAD06 - IAD21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090,,,,delta_new,258,POINT (-77.58115 38.928243),0.0,0.0
42988 Lago Stella Pl,42988 Lago Stella Pl,Ashburn,VA,20148,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",39.001336,-77.516155,,ASBNVAASDS0,,Not Connected,Near Net,Commercial Building,703.0,723.0,246.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,42988,,Lago Stella,,Pl,,,,,,,,No,1501+ feet,634.0,,2830.0,,,,3-way junction - BL20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1093,,,,delta_new,259,POINT (-77.516155 39.001336),1.4210854715202004e-14,9.416198849449257e-15
23530 Epperson Sq,23530 Epperson Sq,Ashburn,VA,20148,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.965636,-77.539385,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,23530,,Epperson,,Sq,,,,,,,,No,501 - 1000 feet,633.0,,815.0,,,,3-way junction - BL7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1094,,,,delta_new,260,POINT (-77.539385 38.965636),4.356147341363793e-15,5.52484217842996e-15
42908 Southview Manor Dr,42908 Southview Manor Dr,Ashburn,VA,20148,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.971146,-77.517399,,ASBNVAASDS0,,Not Connected,Near Net,Commercial Building,703.0,723.0,246.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,42908,,Southview Manor,,Dr,,,,,,,,No,1501+ feet,631.0,,1602.0,,,,IAD06 - IAD21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096,,,,delta_new,261,POINT (-77.517399 38.971146),0.0,7.105427357601002e-15
41685 Dillinger Mill Pl,41685 Dillinger Mill Pl,Aldie,VA,20105,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.939642,-77.56127,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,41685,,Dillinger Mill,,Pl,,,,,,,,waterways - stream,501 - 1000 feet,624.0,,915.0,,,,IAD06 - IAD11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1098,,,,delta_new,262,POINT (-77.56127 38.939642),0.0,0.0
23020 Ladbrook Dr,23020 Ladbrook Dr,Sterling,VA,20166,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.980289,-77.483401,,DLLSVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,260.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,23020,,Ladbrook,,Dr,,,,,,,,No,1001 - 1500 feet,621.0,,1259.0,,,,IAD06 to BL7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1099,,,,delta_new,263,POINT (-77.483401 38.980289),7.105427357601002e-15,1.184958250983252e-14
3852B Dulles South Ct,3852B Dulles South Ct,Chantilly,VA,20151,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.91204,-77.469982,,CNVIVACTDS0,,Not Connected,Near Net,Commercial Building,703.0,222.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,3852B,,Dulles South,,Ct,,,,,,,,No,501 - 1000 feet,642.0,,822.0,,,,3-way junction - BL20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101,,,,delta_new,264,POINT (-77.469982 38.91204),0.0,0.0
44116 John Mosby Hwy,44116 John Mosby Hwy,Chantilly,VA,20152,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.913085,-77.475664,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,44116,,John Mosby,,Hwy,,,,,,,,No,0 - 500 feet,216.0,,481.0,,,,3-way junction - BL20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1106,,,,delta_new,265,POINT (-77.475664 38.913085),0.0,7.105427357601002e-15
23416 Summerstown Pl,23416 Summerstown Pl,Sterling,VA,20166,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.96652,-77.494625,,DLLSVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,260.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,23416,,Summerstown,,Pl,,,,,,,,No,1501+ feet,210.0,,1977.0,,,,IAD06 to BL7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1110,,,,delta_new,266,POINT (-77.494625 38.96652),0.0,4.313534807882904e-15
24597 Medical Dr,24597 Medical Dr,Sterling,VA,20166,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.938486,-77.540127,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,24597,,Medical,,Dr,,,,,,,,No,501 - 1000 feet,208.0,,532.0,,,,3-way junction - IAD11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111,,,,delta_new,267,POINT (-77.540127 38.938486),0.0,0.0
24795 Miners Mill Pl,24795 Miners Mill Pl,Aldie,VA,20105,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.931212,-77.562555,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,24795,,Miners Mill,,Pl,,,,,,,,No,1001 - 1500 feet,208.0,,1166.0,,,,IAD06 - IAD11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1112,,,,delta_new,268,POINT (-77.562555 38.931212),7.105427357601002e-15,1.5888218580782548e-14
41880 John Mosby Hwy,41880 John Mosby Hwy,Aldie,VA,20105,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.943967,-77.553903,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,41880,,John Mosby,,Hwy,,,,,,,,No,0 - 500 feet,200.0,,461.0,,,,3-way junction - IAD11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120,,,,delta_new,269,POINT (-77.553903 38.943967),0.0,6.593841413590312e-15
24013 Lenah Farm Ln,24013 Lenah Farm Ln,Aldie,VA,20105,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.953445,-77.580176,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,24013,,Lenah Farm,,Ln,,,,,,,,No,0 - 500 feet,200.0,,287.0,,,,IAD06 - IAD21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121,,,,delta_new,270,POINT (-77.580176 38.953445),0.0,1.5888218580782548e-14
41170 John Mosby Hwy,41170 John Mosby Hwy,Aldie,VA,20105,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.953216,-77.579256,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,41170,,John Mosby,,Hwy,,,,,,,,No,0 - 500 feet,196.0,,371.0,,,,IAD06 - IAD21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122,,,,delta_new,271,POINT (-77.579256 38.953216),0.0,1.330930112213952e-14
22056 Dilworth Sq,22056 Dilworth Sq,Ashburn,VA,20148,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",39.006085,-77.514849,,ASBNVAASDS0,,Not Connected,Near Net,Commercial Building,703.0,723.0,246.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,22056,,Dilworth,,Sq,,,,,,,,No,0 - 500 feet,190.0,,387.0,,,,3-way junction - BL20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1126,,,,delta_new,272,POINT (-77.514849 39.006085),0.0,6.020003412047239e-15
23442 Logans Ridge Ter,23442 Logans Ridge Ter,Ashburn,VA,20148,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.968581,-77.509236,,ASBNVAASDS0,,Not Connected,Near Net,Commercial Building,703.0,723.0,246.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,23442,,Logans Ridge,,Ter,,,,,,,,No,0 - 500 feet,217.0,,451.0,,,,IAD06 - IAD21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1129,,,,delta_new,273,POINT (-77.509236 38.968581),0.0,0.0
22974 Bubbling Brook Dr,22974 Bubbling Brook Dr,Ashburn,VA,20148,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.981304,-77.549848,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,22974,,Bubbling Brook,,Dr,,,,,,,,No,0 - 500 feet,260.0,,407.0,,,,IAD06 - IAD21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1132,,,,delta_new,274,POINT (-77.549848 38.981304),0.0,0.0
42210 Field Post Sq,42210 Field Post Sq,Chantilly,VA,20152,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.929558,-77.543128,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,42210,,Field Post,,Sq,,,,,,,,No,0 - 500 feet,258.0,,438.0,,,,IAD06 to BL7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1133,,,,delta_new,275,POINT (-77.543128 38.929558),0.0,1.7042058274788123e-15
25505 Beresford Dr,25505 Beresford Dr,Chantilly,VA,20152,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.911246,-77.519908,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,25505,,Beresford,,Dr,,,,,,,,No,501 - 1000 feet,256.0,,556.0,,,,IAD06 - IAD21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1134,,,,delta_new,276,POINT (-77.519908 38.911246),0.0,1.4210854715202004e-14
41525 Ware Ct,41525 Ware Ct,Aldie,VA,20105,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.922375,-77.567647,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,41525,,Ware,,Ct,,,,,,,,No,1501+ feet,242.0,,2122.0,,,,IAD06 - IAD11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141,,,,delta_new,277,POINT (-77.567647 38.922375),0.0,3.047713236241176e-15
23392 Summerstown Pl,23392 Summerstown Pl,Sterling,VA,20166,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.968472,-77.493843,,DLLSVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,260.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,23392,,Summerstown,,Pl,,,,,,,,No,1001 - 1500 feet,231.0,,1239.0,,,,IAD06 to BL7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1147,,,,delta_new,278,POINT (-77.493843 38.968472),0.0,3.3739285450872186e-16
22487 Orchard Grass Ter,22487 Orchard Grass Ter,Ashburn,VA,20148,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.993968,-77.485282,,ASBNVAASDS0,,Not Connected,Near Net,Commercial Building,703.0,723.0,246.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,22487,,Orchard Grass,,Ter,,,,,,,,No,1501+ feet,230.0,,1693.0,,,,3-way junction - BL7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1148,,,,delta_new,279,POINT (-77.485282 38.993968),0.0,1.5888218580782548e-14
24914 Gum Spring Rd,24914 Gum Spring Rd,Chantilly,VA,20152,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.930096,-77.541219,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,24914,,Gum Spring,,Rd,,,,,,,,No,1501+ feet,220.0,,2152.0,,,,IAD06 to BL7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,,,,delta_new,280,POINT (-77.541219 38.930096),1.4210854715202004e-14,7.105427357601002e-15
24751 Miners Mill Pl,24751 Miners Mill Pl,Aldie,VA,20105,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.933033,-77.562492,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,24751,,Miners Mill,,Pl,,,,,,,,No,0 - 500 feet,182.0,,310.0,,,,IAD06 - IAD11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1157,,,,delta_new,281,POINT (-77.562492 38.933033),7.105427357601002e-15,1.431284504739089e-14
42681 Wilmar Sq,42681 Wilmar Sq,Ashburn,VA,20148,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",39.001189,-77.521591,,ASBNVAASDS0,,Not Connected,Near Net,Commercial Building,703.0,723.0,246.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,42681,,Wilmar,,Sq,,,,,,,,No,0 - 500 feet,117.0,,452.0,,,,3-way junction - BL20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1161,,,,delta_new,282,POINT (-77.521591 39.001189),7.105427357601002e-15,1.5888218580782548e-14
43968 John Mosby Hwy,43968 John Mosby Hwy,Chantilly,VA,20152,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.9148,-77.48225,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,43968,,John Mosby,,Hwy,,,,,,,,No,0 - 500 feet,105.0,,146.0,,,,3-way junction - BL20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1169,,,,delta_new,283,POINT (-77.48225 38.9148),0.0,0.0
23411 Longollen Woods Ter,23411 Longollen Woods Ter,Ashburn,VA,20148,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.968524,-77.507826,,ASBNVAASDS0,,Not Connected,Near Net,Commercial Building,703.0,723.0,246.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,23411,,Longollen Woods,,Ter,,,,,,,,No,0 - 500 feet,101.0,,382.0,,,,IAD06 - IAD21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1172,,,,delta_new,284,POINT (-77.507826 38.968524),0.0,4.608384791812148e-15
24046 Lenah Rd,24046 Lenah Rd,Aldie,VA,20105,USA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.95238,-77.579978,,ARCLVAXARS0,,Not Connected,Near Net,Commercial Building,703.0,327.0,236.0,,,Fiber,,FIBERLIGHT LLC,,,,,,,,,,N,,,24046,,Lenah,,Rd,,,,,,,,No,0 - 500 feet,82.0,,224.0,,,,IAD06 - IAD21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177,,,,delta_new,285,POINT (-77.579978 38.95238),0.0,6.8419538591094565e-15
